LÃ¸b ID,Dato,Starttid,TrÃ¦ningstype,Distance (km),Varighed,Gns. tempo (min/km),Gns. hastighed (km/t),Gns. puls (bpm),Maks puls (bpm),Kadence (skridt/min),SkridtlÃ¦ngde (m),HÃ¸jdemeter op (m),HÃ¸jdemeter ned (m),Kalorier (kcal),TrÃ¦ningseffekt aerob,TrÃ¦ningseffekt anaerob
1,2025-04-30,14:38,Let,10.67,00:58:17,5.46,10.98,131,147,182,1.0,85,58,677,1.1,0.3
2,2025-03-23,17:27,Let,3.32,00:19:50,5.97,10.04,132,140,174,0.96,9,11,211,2.6,1.0
3,2025-03-05,20:24,Let,7.08,00:45:33,6.44,9.32,129,135,171,0.91,49,43,446,1.1,0.7
4,2025-05-29,07:54,Let,3.95,00:23:28,5.94,10.1,136,146,178,0.95,3,0,255,1.1,0.4
5,2025-11-22,08:34,Let,5.79,00:31:21,5.42,11.08,135,145,179,1.03,43,34,372,2.2,0.3
6,2025-01-29,09:52,Let,11.75,01:06:18,5.64,10.63,138,153,171,1.04,49,34,762,1.6,1.0
7,2025-05-16,08:15,Let,3.39,00:18:18,5.4,11.11,131,145,180,1.03,11,7,215,2.6,0.7
8,2025-02-16,18:03,Tempo,11.94,00:58:03,4.86,12.34,165,179,176,1.17,39,49,958,3.8,1.3
9,2025-01-06,16:46,Let,13.33,01:11:07,5.34,11.24,136,150,181,1.03,82,115,859,2.7,1.1
10,2025-05-15,14:48,Interval,4.37,00:18:41,4.28,14.03,180,190,183,1.28,33,39,380,3.3,3.4
11,2025-01-01,15:20,Lang,5.14,00:33:30,6.52,9.2,142,157,171,0.9,25,21,356,3.9,1.7
12,2025-02-13,17:31,Let,8.86,00:49:16,5.56,10.79,138,155,178,1.01,41,47,575,2.6,1.1
13,2025-10-04,18:46,Lang,12.79,01:18:37,6.15,9.76,141,156,170,0.96,71,66,882,3.0,0.7
14,2025-06-23,06:37,Interval,11.28,00:45:23,4.02,14.91,180,190,193,1.29,19,29,980,2.7,1.7
15,2025-04-20,14:08,Tempo,9.65,00:39:53,4.13,14.51,170,175,185,1.31,111,116,786,2.4,1.5
16,2025-08-05,12:29,Lang,11.68,01:12:14,6.19,9.7,142,154,173,0.93,66,52,808,2.4,1.0
17,2025-08-05,08:17,Let,13.37,01:21:32,6.1,9.84,133,138,172,0.95,88,101,854,1.3,0.6
18,2025-02-17,20:48,Lang,8.55,00:46:17,5.42,11.08,150,168,175,1.06,35,33,607,4.0,1.6
19,2025-05-27,12:44,Let,13.18,01:16:54,5.84,10.28,130,141,178,0.97,52,78,833,2.7,1.0
20,2025-02-01,17:20,Lang,14.49,01:30:04,6.22,9.65,146,153,174,0.92,84,103,1015,2.3,1.4
21,2025-07-26,07:56,Tempo,3.69,00:16:47,4.55,13.18,170,177,186,1.18,23,25,300,2.1,1.8
22,2025-06-10,09:16,Tempo,9.84,00:41:00,4.17,14.4,164,179,183,1.31,18,6,787,3.7,0.9
23,2025-09-17,10:08,Interval,7.75,00:29:59,3.87,15.5,177,190,187,1.39,38,24,668,2.7,2.4
24,2025-12-01,14:00,Lang,14.2,01:34:51,6.68,8.98,142,149,169,0.9,22,35,982,2.7,1.8
25,2025-06-25,09:43,Tempo,11.01,00:55:11,5.01,11.97,161,168,178,1.12,124,123,873,2.5,0.9
26,2025-06-20,18:08,Let,10.61,01:01:23,5.79,10.37,136,154,173,1.0,96,105,684,2.5,0.2
27,2025-07-09,15:35,Let,10.65,01:05:44,6.17,9.72,132,143,173,0.94,47,78,678,1.3,0.2
28,2025-12-08,07:22,Let,4.78,00:26:06,5.46,10.98,137,154,175,1.05,28,28,309,1.6,0.9
29,2025-04-02,17:59,Lang,12.36,01:13:37,5.96,10.07,146,153,178,0.94,50,73,866,2.5,1.0
30,2025-01-20,19:30,Lang,6.99,00:44:53,6.42,9.34,147,164,180,0.9,35,43,491,3.5,0.9
31,2025-05-23,11:41,Interval,5.67,00:22:45,4.01,14.95,176,190,187,1.33,20,14,487,3.0,1.4
